tenant_host,match,gov_id,strength,source,evidence
algomacity.civicweb.net,,us:place:5501000,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_places.csv Algoma city
algonquinhighlands.civicweb.net,,ca:csd:3546018,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Algonquin Highlands
allegheny.granicus.com,,us:county:42003,fallback,archive_study_2026-09-09,2 solid page(s) all us:county:42003; 1 weak page(s) e.g. /m/subtitles-county-2026-07-14-county-council-on-2026-07-14-5-00-pm
allentownpa.granicus.com,,us:place:4202000,fallback,ryan_stated,"Allentown, PA -- us_places.csv Allentown city"
alnwickhaldimand.civicweb.net,,ca:csd:3514024,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Alnwick/Haldimand
amaranth.escribemeetings.com,,ca:csd:3522008,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Amaranth
americancanyon.granicus.com,,us:place:0601640,fallback,ryan_stated+upcoming_roster,"rtr-upcoming roster: American Canyon, Napa County, CA (all 109 are CA per Ryan 2026-09-02) -> registry: us_places.csv American Canyon city"
amherst.escribemeetings.com,,ca:csd:1211011,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Amherst
amherstburg.escribemeetings.com,,ca:csd:3537028,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Amherstburg
amherstma.gov,,us:place:2501370,fallback,identity_join+landing_page,"Amherst Town, MA -- us_places.csv Amherst Town city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
amherstoh.new.swagit.com,,us:place:3901798,fallback,identity_join+landing_page,"Amherst (city), OH -- us_places.csv Amherst city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
amv.siouxfalls.gov,,us:place:4659020,fallback,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Sioux Falls city
anmore.escribemeetings.com,,ca:csd:5915038,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Anmore
antiochca.portal.civicclerk.com,,us:place:0602252,fallback,auto_derived+upcoming_roster,upcoming_jurisdictions.csv geoid=0602252 match=exact -> registry: us_places.csv Antioch city
antrimcounty.civicweb.net,,us:county:26009,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Antrim County
apps.tampagov.net,,us:place:1271000,fallback,known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Tampa city
ardsleyvillage.civicweb.net,,us:place:3602506,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_places.csv Ardsley village
argyle.escribemeetings.com,,ca:csd:4604057,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Argyle
arkansas-sc.granicus.com,,rtr:us:ar:arkansas-supreme-court,authoritative,ryan_stated,"Arkansas Supreme Court -- the subdomain's 'sc' is the court, not South Carolina. Ryan, 2026-09-10."
armstrong.civicweb.net,,ca:csd:3554036,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Armstrong
arranelderslie.escribemeetings.com,,ca:csd:3541043,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Arran-Elderslie
artesiaca.cablecast.tv,,us:place:0602896,fallback,auto_derived+visual_confirmed,"city seal reads 'City of Artesia, State of California, Incorporated 1959' (landing.png) [reports/jurisdiction_screens/artesiaca.cablecast.tv/landing.png reports/jurisdiction_screens/artesiaca.cablecast.tv/meeting.png] -> place 0602896 -> registry: us_places.csv Artesia city"
ascensionparishla.portal.civicclerk.com,,us:county:22005,fallback,wildcard_http_sweep_2,HTTP 404 api-supported-versions present -> registry: us_counties.csv Ascension Parish
ashlandcowi.portal.civicclerk.com,,us:county:55003,fallback,archive_study_2026-09-09,2 solid page(s) all us:county:55003; 2 weak page(s) e.g. /m/ashland-wi-2025-06-17-planning-committee-meeting
assiginack.escribemeetings.com,,ca:csd:3551011,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Assiginack
assiniboia.civicweb.net,,ca:csd:4703036,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Assiniboia
athabasca.civicweb.net,,ca:csd:4813048,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Athabasca
athabascacounty.civicweb.net,,rtr:ca:ab:athabasca-county,fallback,wildcard_http_sweep_2,"DNS resolves -> unverified: minted from 'Athabasca County, AB'"
athensoh.new.swagit.com,,us:place:3902736,fallback,identity_join+landing_page,"Athens (city), OH -- us_places.csv Athens city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
atherton.primegov.com,,us:place:0603092,fallback,upcoming_roster,upcoming_jurisdictions.csv geoid=0603092 match=exact -> registry: us_places.csv Atherton town
atikokan.civicweb.net,,ca:csd:3559001,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Atikokan
auburn.granicus.com,,us:place:0603204,fallback,identity_join+landing_page,"Auburn, CA -- us_places.csv Auburn city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
augusta.escribemeetings.com,,us:place:2302100,fallback,wildcard_http_sweep_2,bare form resolves -> registry: us_places.csv Augusta city
aurora-il.granicus.com,,us:place:1703012,fallback,identity_join+landing_page,"Aurora (city), IL -- us_places.csv Aurora city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
auroraon.escribemeetings.com,,ca:csd:3519046,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Aurora
aylmer.civicweb.net,,ca:csd:3534011,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Aylmer
baha.granicus.com,,rtr:us:ca:metropolitan-transportation-commission,fallback,visual_confirmed,"archive lists 'Metropolitan Transportation Commission', 'ABAG', 'Bay Area Toll Authority', 'Bay Area Housing Finance Authority', 'Clipper Executive Board' (landing.png) -- the Bay Area MPO, California [reports/jurisdiction_screens/baha.granicus.com/landing.png reports/jurisdiction_screens/baha.granicus.com/meeting.png] -> no seat county in name -> unverified: minted from 'Metropolitan Transportation Commission, CA'"
baldwincountyal.granicus.com,,us:county:01003,fallback,auto_derived+visual_confirmed,'Baldwin County Commission Regular' meeting; agenda text mentions Alabama (meeting.png) [reports/jurisdiction_screens/baldwincountyal.granicus.com/landing.png reports/jurisdiction_screens/baldwincountyal.granicus.com/meeting.png] -> county 01003 -> registry: us_counties.csv Baldwin County
baltimore.legistar.com,,us:place:2404000,fallback,auto_derived+known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Baltimore city
baltimorecountymd.iqm2.com,,us:county:24005,fallback,ryan_stated,"Baltimore County, MD -- us_counties.csv Baltimore County"
bancroft.civicweb.net,,ca:csd:3512061,fallback,ryan_stated,"Bancroft, ON -- ca_csd.csv Bancroft"
banff.escribemeetings.com,,ca:csd:4815035,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Banff
bangormaine.gov,,us:place:2302795,fallback,ryan_stated,"Bangor, ME -- us_places.csv Bangor city"
barrhead.escribemeetings.com,,ca:csd:4813019,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Barrhead
barrie.escribemeetings.com,,ca:csd:3543042,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Barrie
bart.granicus.com,,us:county:06001,fallback,landing_page,"landing page https://bart.granicus.com/ reads ""Bay Area Rapid Transit"" (re-verified 2026-09-03, WO-108 CA-roster pin audit; prior source was upcoming_roster, which falsely credited rtr-upcoming roster.csv even though that host is not the roster's calendar_url for this jurisdiction)"
bathurst.escribemeetings.com,,rtr:ca:nb:bathurst,fallback,wildcard_http_sweep_2,"bare form resolves -> unverified: minted from 'Bathurst, NB'"
batonrougela.new.swagit.com,,us:place:2205000,fallback,consolidated_government,Every archived page on this host keys to this consolidated city-county already (2026-09-10 audit of ~30 such governments); pinned so a re-spelling can never split it.
battlegroundps.new.swagit.com,,us:sd:5300380,fallback,archive_study_2026-09-09,1 solid page(s) all us:sd:5300380; 1 weak page(s) e.g. /m/dec-08-2025-board-of-directors
baycountyfl.primegov.com,,us:county:12005,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Bay County
bayroberts.civicweb.net,,ca:csd:1001409,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Bay Roberts
bchd.granicus.com,,rtr:us:ca:beach-cities-health-district,fallback,ryan_stated,"Beach Cities Health District, CA -- minted: minted from 'Beach Cities Health District, CA'"
bcnv.primegov.com,,us:place:3206500,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:3206500; 1 weak page(s) e.g. /m/2026-05-20-may-20-2026-planning-commission-meeting
beaumont.escribemeetings.com,,ca:csd:4811013,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Beaumont
beaumontab.civicweb.net,,ca:csd:4811013,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Beaumont
beaumontab.escribemeetings.com,,ca:csd:4811013,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Beaumont
beavercounty.civicweb.net,,us:county:42007,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Beaver County
beavercreekohio.gov,,us:place:3904720,fallback,identity_join+landing_page,"Beavercreek (city), OH -- us_places.csv Beavercreek city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
beaverton.granicus.com,,us:place:4105350,fallback,ryan_stated,"Beaverton, OR -- us_places.csv Beaverton city"
beckwith.civicweb.net,,ca:csd:3509024,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Beckwith
bedfordcounty.primegov.com,,us:county:51019,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Bedford County
beecountytx.portal.civicclerk.com,,us:county:48025,fallback,wildcard_http_sweep_2,HTTP 404 api-supported-versions present -> registry: us_counties.csv Bee County
belledune.civicweb.net,,ca:csd:1314025,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Belledune
bellevue.granicus.com,,us:place:5305210,fallback,ryan_stated,"Bellevue, WA -- us_places.csv Bellevue city"
belmont-ca.granicus.com,,us:place:0605108,fallback,ryan_stated+upcoming_roster,"rtr-upcoming roster: Belmont, San Mateo County, CA (all 109 are CA per Ryan 2026-09-02) -> registry: us_places.csv Belmont city"
berkeley.granicus.com,,us:place:0606000,fallback,auto_derived+known_domains+upcoming_roster,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Berkeley city
berlinmd.gov,,us:place:2406800,fallback,ryan_stated,"Berlin, MD -- us_places.csv Berlin town"
berthoud.org,,us:place:0806255,fallback,hub_sweep_wo126,"coverage registry row us:place:0806255 (Berthoud town, CO); hub https://berthoud.org/AgendaCenter; meeting found via youtube at https://berthoud.org/AgendaCenter"
bethanybeach.granicus.com,,us:place:1005690,fallback,identity_join+landing_page,"Bethany Beach, DE -- us_places.csv Bethany Beach town [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
beverlyhills.granicus.com,,us:place:0606308,fallback,ryan_stated,"Beverly Hills, CA -- us_places.csv Beverly Hills city"
biddefordme.portal.civicclerk.com,,us:place:2304860,fallback,wildcard_http_sweep_2,HTTP 404 api-supported-versions present -> registry: us_places.csv Biddeford city
biglakescounty.escribemeetings.com,,ca:csd:4817027,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca:csd:4817027 Big Lakes County matched with spacing ignored
blackdiamond.civicweb.net,,ca:csd:4806011,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Black Diamond
blacksburg.granicus.com,,us:place:5107784,fallback,auto_derived+visual_confirmed,"page title 'Town of Blacksburg, Va.: Blacksburg' (landing.png) [reports/jurisdiction_screens/blacksburg.granicus.com/landing.png reports/jurisdiction_screens/blacksburg.granicus.com/meeting.png] -> place 5107784 -> registry: us_places.csv Blacksburg town"
blacksharbour.civicweb.net,,ca:csd:1302012,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Blacks Harbour
blandfordblenheim.escribemeetings.com,,ca:csd:3532045,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Blandford-Blenheim
blindriver.escribemeetings.com,,ca:csd:3557038,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Blind River
blissfield.civicweb.net,,ca:csd:1309021,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Blissfield
bluewater.civicweb.net,,ca:csd:3540010,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Bluewater
boilingspringsnc.gov,,us:place:3706800,fallback,hub_sweep_wo126,"coverage registry row us:place:3706800 (Boiling Springs town, NC); hub https://boilingspringsnc.gov/calendar.aspx?CID=14; meeting found via youtube at https://boilingspringsnc.gov/AgendaCenter"
bonnyville.civicweb.net,,ca:csd:4812009,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Bonnyville
boston.granicus.com,,us:place:2507000,fallback,auto_derived+known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Boston city
bouctouche.escribemeetings.com,,ca:csd:1308005,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Bouctouche
bouldercounty.escribemeetings.com,,us:county:08013,fallback,wildcard_http_sweep_2,bare form resolves -> registry: us_counties.csv Boulder County
bowenisland.civicweb.net,,ca:csd:5915062,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Bowen Island
bowisland.civicweb.net,,ca:csd:4801014,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Bow Island
boylecountyky.gov,,us:county:21021,fallback,hub_sweep_wo126,"coverage registry row us:county:21021 (Boyle County, KY); hub https://boylecountyky.gov/Calendar.aspx; meeting found via youtube at https://boylecountyky.gov/AgendaCenter"
bracebridge.civicweb.net,,ca:csd:3544018,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Bracebridge
bradfordwestgwillimbury.escribemeetings.com,,ca:csd:3543014,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Bradford West Gwillimbury
brampton.escribemeetings.com,,ca:csd:3521010,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Brampton
brant.escribemeetings.com,,ca:csd:3529005,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Brant
brantford.escribemeetings.com,,ca:csd:3529006,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Brantford
brazoscountytx.primegov.com,,us:county:48041,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Brazos County
briarclifftv.viebit.com,,us:place:3608103,fallback,hub_sweep_wo126,"coverage registry row us:place:3608103 (Briarcliff Manor village, NY); hub https://briarcliffmanor.gov/AgendaCenter; meeting found via viebit at https://briarclifftv.viebit.com/watch?hash=vzaKW9ZlK0oNLp3U"
brighton.civicweb.net,,ca:csd:3514004,fallback,ryan_stated,"Brighton, ON -- ca_csd.csv Brighton"
brisbaneca.portal.civicclerk.com,,us:place:0608310,fallback,upcoming_roster,upcoming_jurisdictions.csv geoid=0608310 match=exact -> registry: us_places.csv Brisbane city
brla.gov,,us:place:2205000,fallback,consolidated_government,Every archived page on this host keys to this consolidated city-county already (2026-09-10 audit of ~30 such governments); pinned so a re-spelling can never split it.
brockton.escribemeetings.com,,ca:csd:3541032,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Brockton
brockville.civicweb.net,,ca:csd:3507015,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Brockville
brookealvinston.civicweb.net,,ca:csd:3538015,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Brooke-Alvinston
brookfieldil.civicweb.net,,us:place:1708576,fallback,identity_join+landing_page,"Brookfield (village), IL -- us_places.csv Brookfield village [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
brookhavenny.portal.civicclerk.com,,us:cousub:3610310000,fallback,archive_study_2026-09-09,1 solid page(s) all us:cousub:3610310000; 1 weak page(s) e.g. /m/farmingville-ny-2026-06-11-town-board-meeting-planning-board-at-3pm-town-board-a
brookingscountysd.gov,,us:county:46011,fallback,archive_study_2026-09-09,1 solid page(s) all us:county:46011; 1 weak page(s) e.g. /m/2026-05-28-agenda-center
broomfieldco.cablecast.tv,,us:place:0809280,fallback,auto_derived+known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Broomfield city
browardmpo.new.swagit.com,,rtr:us:fl:broward-metropolitan-planning-organization,fallback,known_domains,"app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> unverified: minted from 'Broward Metropolitan Planning Organization, FL'"
buenapark.cablecast.tv,,us:place:0608786,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:0608786; 2 weak page(s) e.g. /m/2026-07-23-bp-planning-commission-july-22-2026
buffalony.iqm2.com,,us:place:3611000,fallback,identity_join+landing_page,"Buffalo, NY -- us_places.csv Buffalo city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
burbank.granicus.com,,us:sd:0606450,fallback,visual_confirmed,'Burbank Unified School District' logo on the player (meeting.png); the only NCES district of that name [reports/jurisdiction_screens/burbank.granicus.com/landing.png reports/jurisdiction_screens/burbank.granicus.com/meeting.png] -> nces 0606450 -> registry: us_school_districts.csv Burbank Unified School District (unified)
burlingameca.granicus.com,,us:place:0609066,fallback,landing_page,"landing page https://burlingameca.granicus.com/ViewPublisher.php?view_id=1 reads ""Burlingame View"" (re-verified 2026-09-03, WO-108 CA-roster pin audit; prior source was auto_derived+upcoming_roster, which falsely credited rtr-upcoming roster.csv even though that host is not the roster's calendar_url for this jurisdiction)"
burlington.escribemeetings.com,,ca:csd:3524002,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Burlington
burnaby.escribemeetings.com,,ca:csd:5915025,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Burnaby
burnslake.escribemeetings.com,,ca:csd:5951022,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Burns Lake
ca-beverlyhills.civicplus.com,,us:place:0606308,fallback,auto_derived+visual_confirmed,"footer address 'City of Beverly Hills, 455 North Rexford Drive, Beverly Hills, CA 90210' (landing.png) [reports/jurisdiction_screens/ca-beverlyhills.civicplus.com/landing.png reports/jurisdiction_screens/ca-beverlyhills.civicplus.com/meeting.png] -> place 0606308 -> registry: us_places.csv Beverly Hills city"
ca-moraga.civicplus.com,,us:place:0649187,fallback,auto_derived+upcoming_roster,upcoming_jurisdictions.csv geoid=0649187 match=exact -> registry: us_places.csv Moraga town
cabarruscounty.primegov.com,,us:county:37025,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Cabarrus County
caledon.escribemeetings.com,,ca:csd:3521024,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Caledon
calgary.escribemeetings.com,,ca:csd:4806016,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Calgary
calistoga.civicweb.net,,us:place:0609892,fallback,auto_derived+ryan_stated+upcoming_roster,"rtr-upcoming roster: Calistoga, Napa County, CA (all 109 are CA per Ryan 2026-09-02) -> registry: us_places.csv Calistoga city"
callander.civicweb.net,,ca:csd:3549066,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Callander
calmar.escribemeetings.com,,ca:csd:4811019,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Calmar
calumetcounty.civicweb.net,,us:county:55015,fallback,wildcard_http_sweep_2,DNS resolves -> registry: us_counties.csv Calumet County
camarillo.primegov.com,,us:place:0610046,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:0610046; 1 weak page(s) e.g. /m/2026-01-06-camarillo-planning-commission-1-06-2026
cambridge.escribemeetings.com,,ca:csd:3530010,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Cambridge
camdencounty.escribemeetings.com,,us:county:37029,fallback,wildcard_http_sweep_2,bare form resolves -> registry: us_counties.csv Camden County
campbellriver.civicweb.net,,ca:csd:5924034,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Campbell River
campbellton.escribemeetings.com,,ca:csd:1314014,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Campbellton
camrose.civicweb.net,,ca:csd:4810011,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Camrose
camrosecounty.civicweb.net,,rtr:ca:ab:camrose-county,fallback,wildcard_http_sweep_2,"DNS resolves -> unverified: minted from 'Camrose County, AB'"
canalflats.civicweb.net,,ca:csd:5901043,fallback,wildcard_http_sweep_2,DNS resolves -> registry: ca_csd.csv Canal Flats
canfieldoh.new.swagit.com,,us:place:3911360,fallback,identity_join+landing_page,"Canfield (city), OH -- us_places.csv Canfield city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
cannonfallsmn.gov,,us:place:2709730,fallback,identity_join+landing_page,"Cannon Falls (city), MN -- us_places.csv Cannon Falls city [WO-125 identity join: jurisdiction_coverage.csv gives this gov_id for this host; confirmed 2026-09-09 against the host's landing page title / Swagit footer / archived meeting body]"
capebreton.escribemeetings.com,,ca:csd:1217030,fallback,wildcard_http_sweep_2,bare form resolves -> registry: ca_csd.csv Cape Breton
capeelizabethme.portal.civicclerk.com,,us:cousub:2300510180,fallback,wildcard_http_sweep_2,HTTP 404 api-supported-versions present -> registry: us_cousubs.csv Cape Elizabeth town
capitalcityconnection.cablecast.tv,,us:place:0151000,fallback,auto_derived+known_domains,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS -> registry: us_places.csv Montgomery city
